owner_id;mode;vehicle_id;type_id;critair;technology;age;euro
989;car;989:car;default_car;Crit'air 1;Gazole;0;6
1272;car;1272:car;default_car;Crit'air 1;Gazole;0;6
1273;car;1273:car;default_car;Crit'air 1;Gazole;0;6
1297;car;1297:car;default_car;Crit'air 1;Gazole;0;6
1298;car;1298:car;default_car;Crit'air 1;Gazole;0;6
5516;car;5516:car;default_car;Crit'air 1;Gazole;0;6
8841;car;8841:car;default_car;Crit'air 1;Gazole;0;6
11857;car;11857:car;default_car;Crit'air 1;Gazole;0;6
11858;car;11858:car;default_car;Crit'air 1;Gazole;0;6
12445;car;12445:car;default_car;Crit'air 1;Gazole;0;6
18912;car;18912:car;default_car;Crit'air 1;Gazole;0;6
22609;car;22609:car;default_car;Crit'air 1;Gazole;0;6
23328;car;23328:car;default_car;Crit'air 1;Gazole;0;6
23329;car;23329:car;default_car;Crit'air 1;Gazole;0;6
25154;car;25154:car;default_car;Crit'air 1;Gazole;0;6
25155;car;25155:car;default_car;Crit'air 1;Gazole;0;6
25156;car;25156:car;default_car;Crit'air 1;Gazole;0;6
25157;car;25157:car;default_car;Crit'air 1;Gazole;0;6
26947;car;26947:car;default_car;Crit'air 1;Gazole;0;6
26948;car;26948:car;default_car;Crit'air 1;Gazole;0;6
26949;car;26949:car;default_car;Crit'air 1;Gazole;0;6
26950;car;26950:car;default_car;Crit'air 1;Gazole;0;6
26951;car;26951:car;default_car;Crit'air 1;Gazole;0;6
28150;car;28150:car;default_car;Crit'air 1;Gazole;0;6
30397;car;30397:car;default_car;Crit'air 1;Gazole;0;6
31592;car;31592:car;default_car;Crit'air 1;Gazole;0;6
31593;car;31593:car;default_car;Crit'air 1;Gazole;0;6
34756;car;34756:car;default_car;Crit'air 1;Gazole;0;6
34757;car;34757:car;default_car;Crit'air 1;Gazole;0;6
34796;car;34796:car;default_car;Crit'air 1;Gazole;0;6
35209;car;35209:car;default_car;Crit'air 1;Gazole;0;6
35210;car;35210:car;default_car;Crit'air 1;Gazole;0;6
35211;car;35211:car;default_car;Crit'air 1;Gazole;0;6
35341;car;35341:car;default_car;Crit'air 1;Gazole;0;6
37467;car;37467:car;default_car;Crit'air 1;Gazole;0;6
37806;car;37806:car;default_car;Crit'air 1;Gazole;0;6
42648;car;42648:car;default_car;Crit'air 1;Gazole;0;6
43019;car;43019:car;default_car;Crit'air 1;Gazole;0;6
43020;car;43020:car;default_car;Crit'air 1;Gazole;0;6
43021;car;43021:car;default_car;Crit'air 1;Gazole;0;6
