person_id;trip_index;preceding_activity_index;following_activity_index;departure_time;arrival_time;preceding_purpose;following_purpose;is_first;is_last
989;0;0;1;50316.0;50916.0;home;leisure;True;False
989;1;1;2;53916.0;56616.0;leisure;leisure;False;False
989;2;2;3;56616.0;59316.0;leisure;home;False;True
1272;0;0;1;57169.0;57769.0;home;shop;True;False
1272;1;1;2;60769.0;61669.0;shop;home;False;True
1273;0;0;1;31524.0;36024.0;home;work;True;False
1273;1;1;2;67524.0;72024.0;work;home;False;True
1297;0;0;1;29442.0;32442.0;home;work;True;False
1297;1;1;2;44142.0;44742.0;work;leisure;False;False
1297;2;2;3;48342.0;48942.0;leisure;work;False;False
1297;3;3;4;64242.0;66942.0;work;home;False;True
1298;0;0;1;49749.0;52449.0;home;leisure;True;False
1298;1;1;2;64149.0;65949.0;leisure;work;False;False
1298;2;2;3;73149.0;74949.0;work;home;False;True
5516;0;0;1;28625.0;30425.0;home;other;True;False
5516;1;1;2;31025.0;31625.0;other;work;False;False
5516;2;2;3;64625.0;65225.0;work;other;False;False
5516;3;3;4;65825.0;67925.0;other;home;False;True
8841;0;0;1;27870.0;31470.0;home;education;True;False
8841;1;1;2;56670.0;60270.0;education;home;False;True
11857;0;0;1;64147.0;65047.0;home;shop;True;False
11857;1;1;2;66247.0;67447.0;shop;home;False;True
11858;0;0;1;34071.0;37671.0;home;work;True;False
11858;1;1;2;48471.0;52071.0;work;work;False;False
11858;2;2;3;62871.0;65571.0;work;shop;False;False
11858;3;3;4;69171.0;71871.0;shop;home;False;True
12445;0;0;1;30349.0;31549.0;home;work;True;False
12445;1;1;2;67549.0;69349.0;work;shop;False;False
12445;2;2;3;72949.0;74749.0;shop;home;False;True
18912;0;0;1;33988.0;34288.0;home;shop;True;False
18912;1;1;2;35188.0;35488.0;shop;home;False;True
22609;0;0;1;29196.0;30996.0;home;work;True;False
22609;1;1;2;43596.0;44796.0;work;leisure;False;False
22609;2;2;3;48996.0;50196.0;leisure;work;False;False
22609;3;3;4;65196.0;66996.0;work;home;False;True
23328;0;0;1;57109.0;58909.0;home;leisure;True;False
23328;1;1;2;67009.0;70609.0;leisure;home;False;False
23328;2;2;3;82309.0;83509.0;home;leisure;False;True
23329;0;0;1;30110.0;31790.0;home;leisure;True;False
23329;1;1;2;37910.0;38210.0;leisure;shop;False;False
23329;2;2;3;39110.0;40190.0;shop;home;False;False
23329;3;3;4;48110.0;49790.0;home;leisure;False;False
23329;4;4;5;55310.0;58010.0;leisure;home;False;True
25154;0;0;1;58230.0;60030.0;home;shop;True;False
25154;1;1;2;65430.0;67230.0;shop;leisure;False;False
25154;2;2;3;76230.0;77130.0;leisure;home;False;True
25155;0;0;1;29676.0;30276.0;home;education;True;False
25155;1;1;2;41976.0;42576.0;education;home;False;False
25155;2;2;3;47376.0;47976.0;home;education;False;False
25155;3;3;4;58776.0;59376.0;education;home;False;True
25156;0;0;1;27849.0;28449.0;home;other;True;False
25156;1;1;2;29049.0;31449.0;other;work;False;False
25156;2;2;3;63849.0;66549.0;work;other;False;False
25156;3;3;4;66849.0;67449.0;other;home;False;True
25157;0;0;1;60202.0;61102.0;home;leisure;True;False
25157;1;1;2;61162.0;62002.0;leisure;shop;False;False
25157;2;2;3;63802.0;64702.0;shop;home;False;True
26947;0;0;1;20419.0;21619.0;home;work;True;False
26947;1;1;2;47419.0;49219.0;work;home;False;True
26948;0;0;1;48133.0;48733.0;home;leisure;True;False
26948;1;1;2;55633.0;56233.0;leisure;home;False;False
26948;2;2;3;68833.0;70933.0;home;leisure;False;False
26948;3;3;4;85033.0;86833.0;leisure;home;False;True
26949;0;0;1;25416.0;26616.0;home;education;True;False
26949;1;1;2;57816.0;59316.0;education;home;False;True
28150;0;0;1;31261.0;32461.0;home;work;True;False
28150;1;1;2;45661.0;46561.0;work;leisure;False;False
28150;2;2;3;49261.0;50161.0;leisure;work;False;False
28150;3;3;4;65461.0;66661.0;work;home;False;True
30397;0;0;1;29416.0;30016.0;home;other;True;False
30397;1;1;2;30076.0;33016.0;other;work;False;False
30397;2;2;3;69016.0;72616.0;work;home;False;True
31593;0;0;1;22900.0;23500.0;home;leisure;True;False
31593;1;1;2;25300.0;25900.0;leisure;home;False;False
31593;2;2;3;36400.0;37000.0;home;leisure;False;False
31593;3;3;4;38800.0;39400.0;leisure;home;False;False
31593;4;4;5;58000.0;58600.0;home;leisure;False;False
31593;5;5;6;59200.0;59800.0;leisure;home;False;True
